CarNumber,SURNAME
MNO555RUS,Smith
PQR999RUS,Johnson
STU111RUS,Williams
T399KX197RUS,RICHARDSON
9491H7178RUS,ROSS
E811HE77RUS,MORGAN
7065C8197RUS,BAILEY
7368C8197RUS,LOPEZ
84418C154RUS,HOWARD
Y193O8161RUS,NELSON
T6449O50RUS,WRIGHT
E40577152RUS,RIVERA
X242EC197RUS,REYES
8224XX154RUS,PARKER
K558KC161RUS,KING
Y194O8161RUS,NGUYEN
Y7649C197RUS,LOPEZ
K27188138RUS,SMITH
8316XX154RUS,MYERS
K379HY161RUS,DIAZ
7830C8197RUS,ROBINSON
Y7699C197RUS,MORGAN
O143HO197RUS,JONES
9496KX178RUS,BAKER
T941CC96RUS,CRUZ
9589EY178RUS,RAMOS
T940CC96RUS,MARTINEZ
X786CO96RUS,MORGAN
96629X178RUS,WRIGHT
X758HY197RUS,LOPEZ
T912CT197RUS,MITCHELL
O672E8197RUS,BAKER
8451M7154RUS,RUIZ
8685HE154RUS,HOWARD
T6249O50RUS,WALKER
97987H178RUS,HERNANDEZ
8521XX154RUS,CHAVEZ
T020OX197RUS,SANDERS
8182XX154RUS,COOK
H232YH197RUS,BENNETT
H427YH197RUS,SMITH
9463EX178RUS,TURNER
T195OK161RUS,GRAY
M5039X197RUS,CAMPBELL
E645TH36RUS,RUIZ
Y7229Y50RUS,ADAMS
705787163RUS,BAKER
8603T8154RUS,RAMIREZ
K2817K154RUS,MORRIS
M3879X197RUS,YOUNG
C299K9154RUS,BAILEY
X767HY197RUS,ROBINSON
98047H178RUS,GUTIERREZ
E773EH197RUS,GUTIERREZ
705387163RUS,ROBINSON
M0319X197RUS,GARCIA
E29677161RUS,HARRIS
Y234E877RUS,TURNER
E6849O154RUS,HARRIS
E5878M777RUS,PARKER
H305T8197RUS,GARCIA
E34877152RUS,ROSS
X257HE161RUS,MITCHELL
O058M7161RUS,PETERSON
O64297197RUS,REED
E33577152RUS,HERNANDEZ
O68897197RUS,BROWN
7089H8163RUS,MURPHY
H419XE197RUS,MARTINEZ
X908XC197RUS,WHITE
K326T8197RUS,FOSTER
C903MC161RUS,GARCIA
T6129O50RUS,PATEL
X256HE161RUS,GARCIA
C583EY154RUS,WARD
Y7429Y50RUS,ROGERS
Y166O8161RUS,LONG
X760HY197RUS,JIMENEZ
K339T8197RUS,BAKER
X582HE161RUS,KIM
7826C8197RUS,CRUZ
